feature,importance
FLAG_DOCUMENT_8,0
DAYS_LAST_PHONE_CHANGE,0
FLAG_DOCUMENT_7,0
FLAG_DOCUMENT_2,0
FLAG_DOCUMENT_3,0
FLAG_DOCUMENT_6,0
FLAG_DOCUMENT_4,0
FLAG_DOCUMENT_5,0
INST_DAYS_LATE_SUM,1
EMPLOYED_TO_AGE_RATIO,1
EMPLOYED_YEARS,1
PREV_IS_APPROVED_MEAN,1
BUREAU_AMT_CREDIT_SUM_SUM,1
INST_DAYS_DIFF_MAX,1
DAYS_EMPLOYED,1
BUREAU_COUNT,1
PREV_CREDIT_GOODS_RATIO_MAX,1
NAME_EDUCATION_TYPE,1
CODE_GENDER,2
CREDIT_GOODS_RATIO,2
PREV_CREDIT_GOODS_RATIO_MEAN,3
EXT_SOURCE_MEAN,3
INST_PAID_LATE_MEAN,3
BUREAU_DEBT_RATIO_MAX,3
EXT_SOURCE_PROD,4
